id,gid,x,y,v_x,v_y,radius,time
18,0,8.668025,-0.444826,-1.329266,-0.090477,0.200000,0.700000
19,0,6.723950,-0.850003,-1.173538,0.024736,0.200000,0.700000
20,1,7.129683,7.096361,-0.258286,-1.168808,0.200000,0.700000
21,1,8.140966,-5.044641,-0.382817,-1.079117,0.200000,0.700000
22,1,7.169892,1.677695,0.357516,-0.797965,0.200000,0.700000
23,1,8.928498,-3.761944,-0.355794,-1.308269,0.200000,0.700000
24,1,5.370745,4.670642,0.175060,-0.989864,0.200000,0.700000
25,1,8.274635,-2.803114,-0.219582,-1.129826,0.200000,0.700000
26,1,6.836109,5.897324,0.024572,-1.219660,0.200000,0.700000
27,1,4.999108,0.654408,-0.980129,-0.798349,0.200000,0.700000
28,1,4.921765,2.416578,0.349032,-1.146831,0.200000,0.700000
29,1,4.735824,0.161726,-0.207325,-0.917285,0.200000,0.700000
30,1,7.637248,2.613550,0.145058,-1.219331,0.200000,0.700000
31,1,7.190673,-5.023457,-0.149137,-1.057117,0.200000,0.700000
32,1,5.788916,1.607770,0.321232,-1.028658,0.200000,0.700000
33,1,7.973300,4.609627,-0.054984,-1.194200,0.200000,0.700000
34,1,4.968141,5.936781,0.023578,-1.271191,0.200000,0.700000
35,1,9.058884,3.007761,-0.179468,-1.188976,0.200000,0.700000
36,1,6.217035,3.502774,0.039848,-0.908568,0.200000,0.700000
37,1,8.425438,3.003674,-0.281091,-1.194878,0.200000,0.700000
38,1,9.060653,4.084034,-0.165440,-1.232627,0.200000,0.700000
39,1,6.790407,8.343633,-0.037887,-1.084674,0.200000,0.700000
0,0,9.324518,0.216718,-1.342229,0.001844,0.200000,0.800000
1,0,11.643473,0.547435,-1.310628,0.041393,0.200000,0.800000
2,0,6.697298,-0.234442,-0.961235,-0.307659,0.200000,0.800000
3,0,5.964932,-0.826311,-1.297709,0.033917,0.200000,0.800000
4,0,7.936682,0.669890,-1.248762,0.046266,0.200000,0.800000
5,0,5.007106,-0.245809,-0.493158,-1.320130,0.200000,0.800000
6,0,12.958998,-1.116565,-1.246277,-0.290566,0.200000,0.800000
7,0,10.108092,-0.175480,-1.221189,0.132918,0.200000,0.800000
8,0,12.506959,-0.545070,-1.292246,-0.000300,0.200000,0.800000
9,0,7.441984,-0.119271,-1.259843,0.134887,0.200000,0.800000
10,0,6.242880,0.235550,-1.004302,0.084229,0.200000,0.800000
11,0,14.013893,-0.561168,-1.261669,0.317098,0.200000,0.800000
12,0,12.630025,0.540012,-1.360689,-0.110023,0.200000,0.800000
13,0,7.971616,0.215534,-1.191052,-0.080457,0.200000,0.800000
14,0,5.903938,-0.364256,-1.232766,0.118007,0.200000,0.800000
15,0,12.788241,1.033709,-1.124276,0.175603,0.200000,0.800000
16,0,5.479397,0.146472,-1.243651,0.068361,0.200000,0.800000
17,0,5.856204,0.840627,-1.246384,-0.028006,0.200000,0.800000
18,0,8.549147,-0.459463,-1.188778,-0.146367,0.200000,0.800000
19,0,6.648729,-0.859880,-0.752209,-0.098768,0.200000,0.800000
20,1,7.101043,6.987856,-0.286392,-1.085046,0.200000,0.800000
21,1,8.109251,-5.175550,-0.317153,-1.309091,0.200000,0.800000
22,1,7.221494,1.581383,0.516026,-0.963126,0.200000,0.800000
23,1,8.891545,-3.894875,-0.369535,-1.329315,0.200000,0.800000
24,1,5.381199,4.567678,0.104539,-1.029643,0.200000,0.800000
25,1,8.268335,-2.931977,-0.063000,-1.288632,0.200000,0.800000
26,1,6.834790,5.763411,-0.013186,-1.339124,0.200000,0.800000
27,1,4.896974,0.583794,-1.021342,-0.706143,0.200000,0.800000
28,1,4.949076,2.285822,0.273103,-1.307558,0.200000,0.800000
29,1,4.722941,0.058530,-0.128831,-1.031964,0.200000,0.800000
30,1,7.610305,2.481010,-0.269429,-1.325397,0.200000,0.800000
31,1,7.190004,-5.150816,-0.006696,-1.273594,0.200000,0.800000
32,1,5.823253,1.492979,0.343370,-1.147919,0.200000,0.800000
33,1,7.952745,4.499450,-0.205551,-1.101772,0.200000,0.800000
34,1,4.953346,5.835169,-0.147946,-1.016119,0.200000,0.800000
35,1,9.029191,2.886394,-0.296931,-1.213676,0.200000,0.800000
36,1,6.222666,3.407591,0.056306,-0.951826,0.200000,0.800000
37,1,8.388351,2.882613,-0.370877,-1.210605,0.200000,0.800000
38,1,9.056472,3.976830,-0.041813,-1.072038,0.200000,0.800000
39,1,6.778464,8.224822,-0.119430,-1.188105,0.200000,0.800000
0,0,9.194953,0.215514,-1.295644,-0.012039,0.200000,0.900000
1,0,11.507068,0.544111,-1.364052,-0.033231,0.200000,0.900000
2,0,6.563010,-0.243799,-1.342881,-0.093577,0.200000,0.900000
3,0,5.825299,-0.820090,-1.396332,0.062217,0.200000,0.900000
4,0,7.807590,0.662239,-1.290917,-0.076511,0.200000,0.900000
5,0,4.959170,-0.369530,-0.479358,-1.237203,0.200000,0.900000
6,0,12.833495,-1.127244,-1.255037,-0.106784,0.200000,0.900000
7,0,9.976822,-0.155986,-1.312701,0.194933,0.200000,0.900000
8,0,12.376217,-0.546710,-1.307418,-0.016393,0.200000,0.900000
9,0,7.313663,-0.106480,-1.283210,0.127914,0.200000,0.900000
10,0,6.135134,0.229189,-1.077460,-0.063614,0.200000,0.900000
11,0,13.884009,-0.549905,-1.298833,0.112633,0.200000,0.900000
12,0,12.490263,0.542819,-1.397621,0.028065,0.200000,0.900000
